ELECTION HISTORY,P02,Sushma Swaraj,2014,LS16,BJP,Winner,714348
ELECTION HISTORY,P02,Sushma Swaraj,2009,LS15,BJP,Winner,438235
ELECTION HISTORY,P02,Sushma Swaraj,1999,LS13,BJP,Loser,358550
ELECTION_HISTORY,P02,Sushma Swaraj,1998,LS12,BJP,Winner,331756
ELECTION HISTORY,P02,Sushma Swaraj,1996,LS11,BJP,Winner,294570
DECLARATIONS,P02,Sushma Swaraj,LS16,2014,"Rs. 17,55,16,422","Rs. 65,00,000 ",0
DECLARATIONS,P02,Sushma Swaraj,LS15,2009,"Rs. 7,35,82,637 ","Rs. 58,250 ",0
OFFICE HOLDINGS,P02,Sushma Swaraj,2016,2019,BJP,LS16,"Union Cabinet Minister, External Affairs"
OFFICE HOLDINGS,P02,Sushma Swaraj,2014,2016,BJP,LS16,"Union Cabinet Minister, External Affairs and Overseas Indian Affairs"
OFFICE HOLDINGS,P02,Sushma Swaraj,2009,2014,BJP,LS15,Leader of Opposition in the Lok Sabha
OFFICE HOLDINGS,P02,Sushma Swaraj,2003,2004,BJP,LS13,"Union Cabinet Minister, Health and Family Welfare and Parliamentary Affairs"
OFFICE HOLDINGS,P02,Sushma Swaraj,2000,2003,BJP,LS13,"Union Cabinet Minister, Information and Broadcasting"
OFFICE HOLDINGS,P02,Sushma Swaraj,1998,1998,BJP,LS12,"Union Cabinet Minister for Information and Broadcasting,Ministry of Telecommunications"
OFFICE HOLDINGS,P02,Sushma Swaraj,1996-05-01 00:00:00,1996-06-01 00:00:00,BJP,LS11,Union Cabinet Minister for Information and Broadcasting
PARTY HOLDINGS,P02,Sushma Swaraj,1979,1984,BJP,State President,LS7
